epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8493,1.31956,3.15978,1.65535,0.00519,1,0.17047,0.0663,1.52964,3.74652,2.1254,5.001e-05,5.001e-05,5.001e-05
2,25.7218,1.33636,3.069,1.70105,0.00499,1,0.2627,0.11953,1.36019,3.71695,1.86882,0.000110914,0.000110914,0.000110914
3,37.055,1.25446,2.87767,1.59328,0.00442,0.92857,0.38805,0.16659,1.36599,3.64771,1.8165,0.000165216,0.000165216,0.000165216
4,48.1346,1.17581,2.57497,1.49399,0.00454,1,0.40396,0.16193,1.41444,3.59324,1.86864,0.000212918,0.000212918,0.000212918
5,59.1788,1.11099,2.29259,1.48852,0.00446,1,0.43244,0.19719,1.33443,3.48886,1.8211,0.000254017,0.000254017,0.000254017
6,70.4643,1.16489,2.21334,1.48725,0.00447,1,0.4048,0.19027,1.3295,3.47879,1.76746,0.000288516,0.000288516,0.000288516
7,81.6347,1.17967,1.96139,1.50719,0.00447,1,0.44031,0.23226,1.40856,3.49017,1.83055,0.000316413,0.000316413,0.000316413
8,92.9189,1.10942,1.98212,1.43041,0.00447,1,0.429,0.21557,1.51057,3.40944,1.90667,0.000337709,0.000337709,0.000337709
9,104.223,1.09473,1.68768,1.37266,0.00448,1,0.497,0.23515,1.52414,3.34637,1.9967,0.000352404,0.000352404,0.000352404
10,115.516,1.00435,1.62384,1.31378,0.21385,0.85714,0.5868,0.29933,1.47776,3.19053,1.91818,0.000360497,0.000360497,0.000360497
11,126.884,0.99465,2.58355,1.44062,0.13589,0.92857,0.5232,0.27273,1.54251,3.24514,2.06823,0.000361989,0.000361989,0.000361989
12,137.984,0.99011,2.40575,1.43462,0.02212,0.92857,0.49131,0.26167,1.67896,3.27966,2.13632,0.00035688,0.00035688,0.00035688
13,149.222,0.88675,2.15874,1.35679,0.59541,0.46883,0.58199,0.31438,1.58963,3.08502,2.06907,0.000345169,0.000345169,0.000345169
14,160.489,0.8976,2.1343,1.32632,0.97742,0.31325,0.64029,0.33474,1.54655,3.03458,2.03604,0.000326857,0.000326857,0.000326857
15,171.679,0.98844,2.0729,1.38183,0.67204,0.57738,0.67351,0.34329,1.54882,2.91665,2.05039,0.000301944,0.000301944,0.000301944
16,183.091,0.87464,1.99067,1.32206,0.70983,0.59133,0.70021,0.36325,1.53063,2.88391,2.02873,0.000270429,0.000270429,0.000270429
17,194.396,0.96769,2.03625,1.43059,0.8085,0.56901,0.68748,0.36804,1.5793,2.87708,2.07019,0.000232313,0.000232313,0.000232313
18,205.543,0.79654,1.88404,1.26212,0.70285,0.69048,0.70926,0.37766,1.5277,2.80738,1.99232,0.000187596,0.000187596,0.000187596
19,216.708,0.81106,1.84843,1.26013,0.69046,0.69048,0.71728,0.33924,1.52033,2.72286,1.97743,0.000136277,0.000136277,0.000136277
20,227.797,0.82948,1.7972,1.23819,0.76072,0.69048,0.75289,0.37348,1.54264,2.66261,1.99385,7.83573e-05,7.83573e-05,7.83573e-05
