epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8873,1.52795,3.15666,1.75449,0.0041,1,0.20036,0.09268,1.04133,3.59342,1.59721,0.00010002,0.00010002,0.00010002
2,47.9525,1.26655,2.80526,1.52935,0.00399,1,0.30971,0.16387,1.04053,3.49777,1.496,0.000211346,0.000211346,0.000211346
3,70.3751,1.32476,2.3447,1.53626,0.27051,0.24899,0.31321,0.19397,0.9119,3.23002,1.37339,0.000316897,0.000316897,0.000316897
4,92.7975,1.2188,2.0055,1.42856,0.39693,0.07907,0.48109,0.28684,1.00187,3.13765,1.43323,0.000416671,0.000416671,0.000416671
5,115.167,1.21052,1.8661,1.42025,0.83979,0.1681,0.51257,0.2647,1.29145,3.16292,1.76321,0.000510669,0.000510669,0.000510669
6,137.562,1.25986,1.69486,1.4195,0.74894,0.28947,0.48707,0.28461,1.41217,3.1474,1.97873,0.000598891,0.000598891,0.000598891
7,159.866,1.2231,1.67597,1.40651,0.68618,0.28947,0.41342,0.1936,1.37997,3.25832,1.97458,0.000681336,0.000681336,0.000681336
8,182.272,1.19445,1.6893,1.41303,0.57148,0.53239,0.5847,0.27293,1.35817,3.04004,1.89263,0.000758006,0.000758006,0.000758006
9,204.792,1.20104,1.60973,1.41041,0.4861,0.56883,0.55207,0.27095,1.20143,2.92561,1.76092,0.000828899,0.000828899,0.000828899
10,227.111,1.1904,1.65723,1.38036,0.54377,0.39069,0.46722,0.16216,1.62443,3.21823,2.21431,0.000894016,0.000894016,0.000894016
11,249.544,1.2521,1.69247,1.44673,0.47492,0.4362,0.44114,0.18193,1.55257,3.39469,2.12003,0.000953357,0.000953357,0.000953357
12,272.317,1.17579,1.52093,1.37359,0.38966,0.25911,0.32532,0.15517,1.73669,3.1645,2.22781,0.00100692,0.00100692,0.00100692
13,294.697,1.23479,1.52827,1.42114,0.45196,0.28543,0.28331,0.14206,1.70949,3.07869,2.17822,0.00105471,0.00105471,0.00105471
14,317.666,1.12483,1.43459,1.35211,0.39351,0.7312,0.5505,0.31119,1.35563,2.74429,1.7776,0.00109672,0.00109672,0.00109672
15,339.756,1.1979,1.42772,1.37955,0.37666,0.61336,0.56391,0.26583,1.56368,2.98845,1.95174,0.00108938,0.00108938,0.00108938
16,362.071,1.15761,1.42892,1.33796,0.36587,0.44049,0.42642,0.20581,1.39121,2.9332,1.80938,0.00104813,0.00104813,0.00104813
17,384.713,1.13838,1.28195,1.32335,0.33733,0.38866,0.35801,0.21059,1.36522,3.02076,1.78829,0.00100687,0.00100687,0.00100687
18,407.276,1.11051,1.23131,1.32769,0.51015,0.50923,0.51511,0.28607,1.27156,3.13187,1.7632,0.00096561,0.00096561,0.00096561
19,429.396,1.14825,1.23347,1.33913,0.42672,0.70445,0.60069,0.38432,1.28057,2.60407,1.67489,0.000924352,0.000924352,0.000924352
20,451.574,1.11732,1.24673,1.26536,0.67963,0.64514,0.72711,0.37968,1.4897,2.45242,1.94902,0.000883093,0.000883093,0.000883093
21,473.738,1.16931,1.23002,1.31758,0.50106,0.79492,0.70327,0.38065,1.50856,2.37857,2.00911,0.000841835,0.000841835,0.000841835
22,495.978,1.08081,1.15156,1.25526,0.5885,0.74089,0.73726,0.44473,1.30162,2.06617,1.7416,0.000800577,0.000800577,0.000800577
23,518.051,1.10379,1.18778,1.30055,0.64672,0.7531,0.76034,0.41243,1.4319,2.05652,1.87473,0.000759318,0.000759318,0.000759318
24,540.404,1.0107,1.06803,1.20299,0.64102,0.68784,0.69725,0.38606,1.39488,2.10332,1.82982,0.00071806,0.00071806,0.00071806
25,562.629,1.12098,1.16138,1.33686,0.65325,0.74069,0.74313,0.4381,1.3317,2.02832,1.74139,0.000676802,0.000676802,0.000676802
26,584.977,1.00893,1.0517,1.23633,0.63007,0.85506,0.76403,0.44357,1.31807,1.91373,1.70293,0.000635544,0.000635544,0.000635544
27,607.133,0.97764,1.03896,1.22021,0.72966,0.73306,0.73877,0.43436,1.36138,1.89096,1.78159,0.000594286,0.000594286,0.000594286
28,629.228,0.96597,1.03483,1.19475,0.82083,0.67673,0.75435,0.44589,1.30754,1.83708,1.73445,0.000553027,0.000553027,0.000553027
29,651.762,1.01805,1.01635,1.24845,0.84294,0.66898,0.7736,0.49233,1.30182,1.8781,1.70484,0.000511769,0.000511769,0.000511769
30,676.004,0.95415,1.00992,1.19378,0.8045,0.70445,0.77627,0.52945,1.26058,1.87075,1.65716,0.000470511,0.000470511,0.000470511
31,699.725,0.88505,1.31886,1.20008,0.74562,0.76329,0.77465,0.52967,1.21687,1.95024,1.61039,0.000429253,0.000429253,0.000429253
32,722.303,0.82792,1.24126,1.18034,0.79319,0.66156,0.72902,0.41606,1.41632,2.3971,1.79037,0.000387994,0.000387994,0.000387994
33,744.371,0.76817,1.1337,1.09616,0.84334,0.70243,0.78264,0.42787,1.40994,2.30717,1.79538,0.000346736,0.000346736,0.000346736
34,766.179,0.71052,1.03131,1.08694,0.76946,0.86147,0.89603,0.53841,1.23261,1.9069,1.64164,0.000305478,0.000305478,0.000305478
35,788.167,0.73741,1.00138,1.10858,0.82253,0.90561,0.93019,0.59318,1.21719,1.59612,1.62905,0.00026422,0.00026422,0.00026422
36,810.026,0.72464,0.9783,1.09923,0.81368,0.92308,0.91763,0.56606,1.20608,1.64607,1.60331,0.000222961,0.000222961,0.000222961
37,832.078,0.6974,0.93443,1.09857,0.85316,0.8583,0.91614,0.55414,1.27287,1.63826,1.6531,0.000181703,0.000181703,0.000181703
38,854.025,0.65721,0.87644,1.0284,0.90092,0.8606,0.9159,0.54243,1.32716,1.62,1.73175,0.000140445,0.000140445,0.000140445
