epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.2276,2.7815,3.41106,2.78029,0.00333,0.78154,0.02158,0.00641,2.79716,4.02788,3.10012,0.0001667,0.0001667,0.0001667
2,169.804,2.38939,2.89629,2.4537,0.00262,0.62385,0.0379,0.00717,3.33895,4.12487,3.63959,0.000341406,0.000341406,0.000341406
3,252.656,2.09166,2.55105,2.20382,0.00274,0.62462,0.12288,0.03698,3.21263,4.01656,3.31993,0.000507035,0.000507035,0.000507035
4,335.147,1.98595,2.39002,2.11012,0.63563,0.13462,0.11896,0.02685,3.41613,3.8541,3.41421,0.000663587,0.000663587,0.000663587
5,418.064,1.88934,2.23444,2.04464,0.44332,0.31177,0.3609,0.15711,1.95548,3.06741,2.30016,0.000811062,0.000811062,0.000811062
6,500.771,1.66757,2.0266,1.89524,0.63748,0.48417,0.59299,0.21255,1.91211,2.80786,2.25912,0.000949461,0.000949461,0.000949461
7,582.75,1.67974,1.98566,1.90835,0.50924,0.59077,0.55061,0.24167,1.91642,2.85404,2.16066,0.00107878,0.00107878,0.00107878
8,665.478,1.5653,1.87176,1.76033,0.59583,0.60565,0.63767,0.29672,1.72857,2.31449,2.01146,0.00119903,0.00119903,0.00119903
9,747.392,1.52783,1.90372,1.76219,0.7289,0.64769,0.68082,0.32619,1.75885,2.13736,2.00573,0.0013102,0.0013102,0.0013102
10,830.348,1.48656,1.72553,1.69531,0.72789,0.66777,0.72414,0.34559,1.70104,2.08713,1.96182,0.00129568,0.00129568,0.00129568
11,912.521,1.41815,1.62203,1.68619,0.76319,0.70769,0.78138,0.37102,1.60404,2.04553,1.87571,0.00125442,0.00125442,0.00125442
12,992.48,1.42715,1.57529,1.62022,0.75301,0.68692,0.774,0.36289,1.73277,1.99713,1.96031,0.00121316,0.00121316,0.00121316
13,1070.08,1.39993,1.57624,1.62327,0.75424,0.66462,0.74959,0.38064,1.51848,1.86883,1.83656,0.0011719,0.0011719,0.0011719
14,1148.9,1.39749,1.53043,1.59146,0.6558,0.78308,0.69796,0.3657,1.48911,1.94243,1.84179,0.00113064,0.00113064,0.00113064
