epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.4933,1.28379,3.16614,1.57238,0.77299,0.13793,0.19812,0.11473,1.98138,3.37645,2.25595,0.0001667,0.0001667,0.0001667
2,74.7467,1.27633,1.95457,1.54134,0.71355,0.2931,0.41824,0.23631,1.33673,2.76045,1.7167,0.000336207,0.000336207,0.000336207
3,110.437,1.26074,1.7433,1.5448,0.48841,0.7477,0.59673,0.35522,1.43863,1.92611,1.68914,0.000491192,0.000491192,0.000491192
4,145.967,1.24619,1.57154,1.49969,0.57014,0.69449,0.68776,0.40484,1.31358,1.70577,1.6522,0.000631653,0.000631653,0.000631653
5,186.672,1.21981,1.50531,1.50288,0.73462,0.79837,0.84222,0.53089,1.27803,1.44156,1.59523,0.000757591,0.000757591,0.000757591
6,230.506,1.24286,1.40772,1.51092,0.67215,0.69738,0.77939,0.47031,1.37396,1.90191,1.688,0.000869007,0.000869007,0.000869007
7,272.706,1.19901,1.28514,1.46342,0.88022,0.77568,0.87282,0.55276,1.27786,1.4558,1.57749,0.0009659,0.0009659,0.0009659
8,314.405,1.1614,1.24218,1.45436,0.73364,0.7917,0.82579,0.50268,1.26143,1.4965,1.57662,0.00104827,0.00104827,0.00104827
9,355.484,1.23222,1.21606,1.46434,0.8523,0.6954,0.82264,0.55585,1.11151,1.46984,1.48102,0.00111612,0.00111612,0.00111612
10,400.479,1.20698,1.17856,1.45121,0.84315,0.68581,0.84336,0.58915,1.18784,1.49393,1.48726,0.00107288,0.00107288,0.00107288
11,437.775,1.23997,1.22807,1.46867,0.81332,0.71437,0.81386,0.53463,1.27559,1.74402,1.54787,0.00100687,0.00100687,0.00100687
12,473.029,1.17009,1.14986,1.41418,0.84003,0.78103,0.86143,0.57034,1.18533,1.32219,1.46044,0.000940855,0.000940855,0.000940855
13,508.691,1.13923,1.11417,1.38978,0.80714,0.86651,0.89804,0.56142,1.21688,1.2094,1.46094,0.000874842,0.000874842,0.000874842
14,544.255,1.14226,1.0847,1.38452,0.76436,0.82313,0.83306,0.53968,1.25764,1.20275,1.49768,0.000808828,0.000808828,0.000808828
15,580.761,1.08946,1.0848,1.4094,0.88632,0.78907,0.83479,0.52083,1.17212,1.17564,1.46693,0.000742815,0.000742815,0.000742815
16,620.404,0.96113,1.16001,1.30088,0.7816,0.59221,0.67454,0.34641,1.51152,1.81507,1.77265,0.000676802,0.000676802,0.000676802
17,658.807,0.9597,1.1,1.37461,0.73478,0.64368,0.70225,0.397,1.34133,1.89125,1.63011,0.000610789,0.000610789,0.000610789
18,695.632,0.96328,1.05559,1.35535,0.83339,0.72106,0.80198,0.46928,1.23418,1.62979,1.55258,0.000544776,0.000544776,0.000544776
19,733.925,0.87718,0.98559,1.2791,0.81232,0.81029,0.88108,0.51851,1.22052,1.40513,1.49798,0.000478762,0.000478762,0.000478762
20,772.689,0.86823,0.93821,1.30754,0.88148,0.90779,0.94177,0.58953,1.14398,1.12859,1.4546,0.000412749,0.000412749,0.000412749
21,812.668,0.87418,0.9229,1.31191,0.96158,0.82504,0.94645,0.58987,1.16346,1.11464,1.469,0.000346736,0.000346736,0.000346736
22,851.2,0.83259,0.8683,1.22718,0.94673,0.82959,0.93718,0.58091,1.15615,1.15936,1.45308,0.000280723,0.000280723,0.000280723
23,889.794,0.84286,0.89126,1.24563,0.95003,0.80847,0.93332,0.58491,1.15272,1.159,1.43699,0.00021471,0.00021471,0.00021471
24,928.281,0.80838,0.87557,1.24451,0.91134,0.83663,0.93318,0.59292,1.13246,1.14693,1.41888,0.000148696,0.000148696,0.000148696
25,964.992,0.80149,0.84889,1.23165,0.93613,0.82005,0.93225,0.59501,1.11648,1.12753,1.40922,8.26832e-05,8.26832e-05,8.26832e-05
